Date,Strategy_Value,Benchmark_Value
20240101,1.0,1.0
20240102,1.0064144209672437,1.0015277796370035
20240103,0.9916405763329879,1.0031432958721143
20240104,1.0011867005991841,1.0037342108823237
20240105,1.00260965528457,1.0040576750076016
20240106,1.0060485111731976,1.004038212257239
20240107,1.0150573829541172,1.0046576119741994
20240108,1.0140841297347933,1.0044710656759561
20240109,1.0185074054962768,1.0047067006702404
20240110,1.0126262827379966,1.0046102814029936
20240111,1.0188434354418443,1.004878426284571
20240112,1.018108831152123,1.0052173279796683
20240113,1.0216064999391543,1.0052614815884542
20240114,1.0193431779961788,1.0058197479120417
20240115,1.0129564926571595,1.0059369099679076
20240116,1.0124907513097148,1.006085116807038
20240117,1.0093913505496583,1.0066185997393164
20240118,1.0030042196583782,1.0066521429105035
20240119,1.0065016656692793,1.0067980672717782
20240120,1.001396527866927,1.0068232207946317
20240121,1.0042877164861854,1.0071009428299136
20240122,1.0065077084718141,1.0073527402349582
20240123,1.007054596024727,1.0074861109680278
20240124,1.011415800786901,1.0078107934429716
20240125,1.0129469689775883,1.008011558961369
20240126,1.0180653062656622,1.0081418761091994
20240127,1.0198947716948445,1.0084918509063256
20240128,1.0193971455137483,1.0086774256092659
20240129,1.0268256434261966,1.0089791290841779
20240130,1.0292250815847959,1.009196751009981
20240131,1.0270701959232524,1.009389342790112
20240201,1.02512132248822,1.0097122362959259
20240202,1.0237001221648603,1.009810999729619
20240203,1.0230019139254296,1.0098919660048982
20240204,1.0239966371943128,1.0101053468400913
20240205,1.0191396720011339,1.0104198661197192
20240206,1.0151471060406025,1.009829352085349
20240207,1.01722758447462,1.0101464314414903
20240208,1.0192404782001026,1.0100274495721988
20240209,1.0080779181793396,1.0102611722201718
20240210,1.0120277389698664,1.010565605415222
20240211,1.0092480498038316,1.010650010829432
20240212,1.00813698170089,1.010913559911003
20240213,0.9855756075731632,1.0110281618903556
20240214,0.9839149229097124,1.0111566592247607
20240215,1.0019201631612378,1.0115987813542286
20240216,0.9987237433964282,1.0118237133780283
20240217,1.0020945133302273,1.012020222383668
20240218,0.9979326932046876,1.0119882676936913
20240219,0.9970937182979123,1.0120221964185703
20240220,1.000831177742214,1.0120519765857252
20240221,1.009291240526097,1.0123119939954792
20240222,1.0264022852375447,1.0124292485842314
20240223,1.0398254103466702,1.0126474719737937
20240224,1.0426126739011359,1.0129233741956503
20240225,1.0480439281112566,1.0129351412943242
20240226,1.0642102071010446,1.012972647957463
20240227,1.0618154193941658,1.0139959382998118
20240228,1.0575486160172138,1.014213837824273
20240229,1.0844392543794306,1.014912121826577
20240301,1.0786903771015097,1.0152095379444361
20240302,1.0899805321509117,1.0147930628465471
20240303,1.0825862025274509,1.0162573803458792
20240304,1.088419344876664,1.0171636474316912
20240305,1.0850062196310881,1.0173392902715304
20240306,1.0847324834609609,1.0183098677131355
20240307,1.0841975422780363,1.018764574315104
20240308,1.0871750844948092,1.0189793431435876
20240309,1.0746740297890671,1.0196098313847244
20240310,1.080407535513996,1.0205573527155596
20240311,1.083223982741533,1.0212504702983933
20240312,1.0693863547949358,1.022012617414208
20240313,1.069097386306898,1.0230272867760082
20240314,1.067217879789443,1.0245124704411406
20240315,1.0704399466562555,1.025222598652857
20240316,1.0417117950771486,1.026993477603618
20240317,1.0506969968942221,1.0288628578115615
20240318,1.0549182982465568,1.030097292777691
20240319,1.0599208197938819,1.0317343229088045
20240320,1.045918448898915,1.0336384800597491
20240321,1.0455038625203943,1.0359975134562867
20240322,1.0568780320179423,1.0392960486668694
20240323,1.0641369416011865,1.039953972908715
20240324,1.0787726650346459,1.040988783595375
20240325,1.0879616234699108,1.0422869120313911
20240326,1.0933156022098278,1.0434635293658976
20240327,1.1006808873952987,1.0443370706543487
20240328,1.0925719476398121,1.0458867034746038
20240329,1.1092030768725238,1.047293604318152
20240330,1.0996117012048567,1.0487605127382928
20240331,1.113954418332916,1.0510865118945165
20240401,1.111024828678194,1.0528869859466605
20240402,1.1207893570931502,1.0537053930571836
20240403,1.1215146047853983,1.0540814929724667
20240404,1.1073825781825868,1.0547425479102899
20240405,1.1138734949035782,1.054993620474394
20240406,1.107380211186202,1.0553937789400456
20240407,1.0877003070690485,1.0558384457238796
20240408,1.0960935648608525,1.05638622498705
20240409,1.0806115149083177,1.0568915008112358
20240410,1.0847884002696704,1.057159753647847
20240411,1.0806324280175514,1.057537303245011
20240412,1.096136950512232,1.0577795389184992
20240413,1.0931308372567459,1.0582407382446375
20240414,1.082955370422403,1.0585614109611867
